"ID","NAME","DISPLAYKEY","TYPE","FROMOBJ","TOOBJ"
108,"ES_REL_AP_CREDIT_MEMO2ITEM","es.rel.ap.credit.memo2item","BIDIRECTION","All/AP/@ES_AP_CREDIT_MEMO","All/Master Data/@ES_ITEM"
109,"ES_REL_AP_CREDIT_MEMO2FIXEDASSETS","es.rel.ap.credit.memo2fixedassets","BIDIRECTION","All/AP/@ES_AP_CREDIT_MEMO","All/Master Data/@ES_FIXEDASSETS"
110,"ES_REL_AP_CREDIT_MEMO2BP","es.rel.ap.credit.memo2bp","BIDIRECTION","All/AP/@ES_AP_CREDIT_MEMO","All/Master Data/@ES_BP"
111,"ES_REL_AP_CREDIT_MEMO2CONTACT","es.rel.ap.credit.memo2contact","BIDIRECTION","All/AP/@ES_AP_CREDIT_MEMO","All/Master Data/@ES_CONTACT"
112,"ES_REL_AP_INVOICE2ITEM","es.rel.ap.invoice2item","BIDIRECTION","All/AP/@ES_AP_INVOICE","All/Master Data/@ES_ITEM"
113,"ES_REL_AP_INVOICE2FIXEDASSETS","es.rel.ap.invoice2fixedassets","BIDIRECTION","All/AP/@ES_AP_INVOICE","All/Master Data/@ES_FIXEDASSETS"
114,"ES_REL_AP_INVOICE2BP","es.rel.ap.invoice2bp","BIDIRECTION","All/AP/@ES_AP_INVOICE","All/Master Data/@ES_BP"
115,"ES_REL_AP_INVOICE2CONTACT","es.rel.ap.invoice2contact","BIDIRECTION","All/AP/@ES_AP_INVOICE","All/Master Data/@ES_CONTACT"
116,"ES_REL_APRESERVEINVOICE2ITEM","es.rel.apreserveinvoice2item","BIDIRECTION","All/AP/@ES_APRESERVEINVOICE","All/Master Data/@ES_ITEM"
117,"ES_REL_APRESERVEINVOICE2FIXEDASSETS","es.rel.apreserveinvoice2fixedassets","BIDIRECTION","All/AP/@ES_APRESERVEINVOICE","All/Master Data/@ES_FIXEDASSETS"
118,"ES_REL_APRESERVEINVOICE2BP","es.rel.apreserveinvoice2bp","BIDIRECTION","All/AP/@ES_APRESERVEINVOICE","All/Master Data/@ES_BP"
119,"ES_REL_APRESERVEINVOICE2CONTACT","es.rel.apreserveinvoice2contact","BIDIRECTION","All/AP/@ES_APRESERVEINVOICE","All/Master Data/@ES_CONTACT"
120,"ES_REL_AR_CREDIT_MEMO2ITEM","es.rel.ar.credit.memo2item","BIDIRECTION","All/AR/@ES_AR_CREDIT_MEMO","All/Master Data/@ES_ITEM"
121,"ES_REL_AR_CREDIT_MEMO2FIXEDASSETS","es.rel.ar.credit.memo2fixedassets","BIDIRECTION","All/AR/@ES_AR_CREDIT_MEMO","All/Master Data/@ES_FIXEDASSETS"
122,"ES_REL_AR_CREDIT_MEMO2BP","es.rel.ar.credit.memo2bp","BIDIRECTION","All/AR/@ES_AR_CREDIT_MEMO","All/Master Data/@ES_BP"
123,"ES_REL_AR_CREDIT_MEMO2CONTACT","es.rel.ar.credit.memo2contact","BIDIRECTION","All/AR/@ES_AR_CREDIT_MEMO","All/Master Data/@ES_CONTACT"
124,"ES_REL_BOM2PRODUCTIONORDER","es.rel.bom2productionorder","BIDIRECTION","All/Production/@ES_BOM","All/Production/@ES_PRODUCTIONORDER"
125,"ES_REL_BP2OPPORTUNITY","es.rel.bp2opportunity","BIDIRECTION","All/Master Data/@ES_BP","All/Sales Opportunity/@ES_OPPORTUNITY"
126,"ES_REL_BP2PRODUCTIONORDER","es.rel.bp2productionorder","BIDIRECTION","All/Master Data/@ES_BP","All/Production/@ES_PRODUCTIONORDER"
127,"ES_REL_BP2SERVICECALL","es.rel.bp2servicecall","BIDIRECTION","All/Master Data/@ES_BP","All/Service/@ES_SERVICECALL"
128,"ES_REL_BP2ACTIVITY","es.rel.bp2activity","BIDIRECTION","All/Master Data/@ES_BP","All/Service/@ES_ACTIVITY"
129,"ES_REL_BP2CONTACT","es.rel.bp2contact","BIDIRECTION","All/Master Data/@ES_BP","All/Master Data/@ES_CONTACT"
130,"ES_REL_CONTACT2OPPORTUNITY","es.rel.contact2opportunity","BIDIRECTION","All/Master Data/@ES_CONTACT","All/Sales Opportunity/@ES_OPPORTUNITY"
131,"ES_REL_CONTACT2SERVICECALL","es.rel.contact2servicecall","BIDIRECTION","All/Master Data/@ES_CONTACT","All/Service/@ES_SERVICECALL"
132,"ES_REL_CONTACT2ACTIVITY","es.rel.contact2activity","BIDIRECTION","All/Master Data/@ES_CONTACT","All/Service/@ES_ACTIVITY"
133,"ES_REL_EMPLOYEE_PEER","es.rel.employmasterdata.peer","BIDIRECTION","All/Master Data/@ES_EMPLOYEE_M_D","All/Master Data/@ES_EMPLOYEE_M_D"
134,"ES_REL_EMPLOYEE_MANAGER","es.rel.employmasterdata.manager","UNIDIRECTION","All/Master Data/@ES_EMPLOYEE_M_D","All/Master Data/@ES_EMPLOYEE_M_D"
135,"ES_REL_EMPLOYEE_SUBORDINATE","es.rel.employmasterdata.subordinate","UNIDIRECTION","All/Master Data/@ES_EMPLOYEE_M_D","All/Master Data/@ES_EMPLOYEE_M_D"
136,"ES_REL_EMPLOYEE_BRANCH","es.rel.employmasterdata.branch","BIDIRECTION","All/Master Data/@ES_EMPLOYEE_M_D","All/Master Data/@ES_EMPLOYEE_M_D"
137,"ES_REL_EMPLOYEE_DEPARTMENT","es.rel.employmasterdata.department","BIDIRECTION","All/Master Data/@ES_EMPLOYEE_M_D","All/Master Data/@ES_EMPLOYEE_M_D"
138,"ES_REL_EMPLOYEE_TEAM","es.rel.employmasterdata.team","BIDIRECTION","All/Master Data/@ES_EMPLOYEE_M_D","All/Master Data/@ES_EMPLOYEE_M_D"
139,"ES_REL_FIXEDASSETS2SERVICECALL","es.rel.fixedassets2servicecall","BIDIRECTION","All/Master Data/@ES_FIXEDASSETS","All/Service/@ES_SERVICECALL"
140,"ES_REL_FIXEDASSETS2PRODUCTIONORDER","es.rel.fixedassets2productionorder","BIDIRECTION","All/Master Data/@ES_FIXEDASSETS","All/Production/@ES_PRODUCTIONORDER"
141,"ES_REL_FIXEDASSETS2BOM","es.rel.fixedassets2bom","BIDIRECTION","All/Master Data/@ES_FIXEDASSETS","All/Production/@ES_BOM"
142,"ES_REL_FIXEDASSETS2KNOWLEDGE_BASE","es.rel.fixedassets2knowledge.base","BIDIRECTION","All/Master Data/@ES_FIXEDASSETS","All/Service/@ES_KNOWLEDGE_BASE"
143,"ES_REL_GOODSRECEIPTPO2ITEM","es.rel.goodsreceiptpo2item","BIDIRECTION","All/AP/@ES_GOODSRECEIPTPO","All/Master Data/@ES_ITEM"
144,"ES_REL_GOODSRECEIPTPO2FIXEDASSETS","es.rel.goodsreceiptpo2fixedassets","BIDIRECTION","All/AP/@ES_GOODSRECEIPTPO","All/Master Data/@ES_FIXEDASSETS"
145,"ES_REL_GOODSRECEIPTPO2BP","es.rel.goodsreceiptpo2bp","BIDIRECTION","All/AP/@ES_GOODSRECEIPTPO","All/Master Data/@ES_BP"
146,"ES_REL_GOODSRECEIPTPO2CONTACT","es.rel.goodsreceiptpo2contact","BIDIRECTION","All/AP/@ES_GOODSRECEIPTPO","All/Master Data/@ES_CONTACT"
147,"ES_REL_GOODSRETURN2ITEM","es.rel.goodsreturn2item","BIDIRECTION","All/AP/@ES_GOODSRETURN","All/Master Data/@ES_ITEM"
148,"ES_REL_GOODSRETURN2FIXEDASSETS","es.rel.goodsreturn2fixedassets","BIDIRECTION","All/AP/@ES_GOODSRETURN","All/Master Data/@ES_FIXEDASSETS"
149,"ES_REL_GOODSRETURN2BP","es.rel.goodsreturn2bp","BIDIRECTION","All/AP/@ES_GOODSRETURN","All/Master Data/@ES_BP"
150,"ES_REL_GOODSRETURN2CONTACT","es.rel.goodsreturn2contact","BIDIRECTION","All/AP/@ES_GOODSRETURN","All/Master Data/@ES_CONTACT"
151,"ES_REL_IP2BP","es.rel.ip2bp","BIDIRECTION","All/Banking/@ES_IP","All/Master Data/@ES_BP"
152,"ES_REL_IP2CONTACT","es.rel.ip2contact","BIDIRECTION","All/Banking/@ES_IP","All/Master Data/@ES_CONTACT"
153,"ES_REL_INVENTORYGOODSISSUE2ITEM","es.rel.inventorygoodsissue2item","BIDIRECTION","All/Inventory/@ES_INVENTORYGOODSISSUE","All/Master Data/@ES_ITEM"
154,"ES_REL_INVENTORYGOODSISSUE2FIXEDASSETS","es.rel.inventorygoodsissue2fixedassets","BIDIRECTION","All/Inventory/@ES_INVENTORYGOODSISSUE","All/Master Data/@ES_FIXEDASSETS"
155,"ES_REL_INVENTORYGOODSRECEIPT2ITEM","es.rel.inventorygoodsreceipt2item","BIDIRECTION","All/Inventory/@ES_INVENTORYGOODSRECEIPT","All/Master Data/@ES_ITEM"
156,"ES_REL_INVENTORYGOODSRECEIPT2FIXEDASSETS","es.rel.inventorygoodsreceipt2fixedassets","BIDIRECTION","All/Inventory/@ES_INVENTORYGOODSRECEIPT","All/Master Data/@ES_FIXEDASSETS"
157,"ES_REL_INVENTORYTRANSFER2ITEM","es.rel.inventorytransfer2item","BIDIRECTION","All/Inventory/@ES_INVENTORYTRANSFER","All/Master Data/@ES_ITEM"
158,"ES_REL_INVENTORYTRANSFER2FIXEDASSETS","es.rel.inventorytransfer2fixedassets","BIDIRECTION","All/Inventory/@ES_INVENTORYTRANSFER","All/Master Data/@ES_FIXEDASSETS"
159,"ES_REL_INVENTORYTRANSFER2BP","es.rel.inventorytransfer2bp","BIDIRECTION","All/Inventory/@ES_INVENTORYTRANSFER","All/Master Data/@ES_BP"
160,"ES_REL_INVENTORYTRANSFER2CONTACT","es.rel.inventorytransfer2contact","BIDIRECTION","All/Inventory/@ES_INVENTORYTRANSFER","All/Master Data/@ES_CONTACT"
161,"ES_REL_ISSUEFORPRODUCTION2PRODUCTIONORDER","es.rel.issueforproduction2productionorder","BIDIRECTION","All/Production/@ES_ISSUEFORPRODUCTION","All/Production/@ES_PRODUCTIONORDER"
162,"ES_REL_ITEM2SERVICECALL","es.rel.item2servicecall","BIDIRECTION","All/Master Data/@ES_ITEM","All/Service/@ES_SERVICECALL"
163,"ES_REL_ITEM2PRODUCTIONORDER","es.rel.item2productionorder","BIDIRECTION","All/Master Data/@ES_ITEM","All/Production/@ES_PRODUCTIONORDER"
164,"ES_REL_ITEM2BOM","es.rel.item2bom","BIDIRECTION","All/Master Data/@ES_ITEM","All/Production/@ES_BOM"
165,"ES_REL_ITEM2KNOWLEDGE_BASE","es.rel.item2knowledge.base","BIDIRECTION","All/Master Data/@ES_ITEM","All/Service/@ES_KNOWLEDGE_BASE"
166,"ES_REL_OP2BP","es.rel.op2bp","BIDIRECTION","All/Banking/@ES_OP","All/Master Data/@ES_BP"
167,"ES_REL_OP2CONTACT","es.rel.op2contact","BIDIRECTION","All/Banking/@ES_OP","All/Master Data/@ES_CONTACT"
168,"ES_REL_PRODUCTIONORDER2RECEIPTFROMPRODUCTION","es.rel.productionorder2receiptfromproduction","BIDIRECTION","All/Production/@ES_PRODUCTIONORDER","All/Production/@ES_RECEIPTFROMPRODUCTION"
169,"ES_REL_PURCHASE_ORDER2ITEM","es.rel.purchase.order2item","BIDIRECTION","All/AP/@ES_PURCHASE_ORDER","All/Master Data/@ES_ITEM"
170,"ES_REL_PURCHASE_ORDER2FIXEDASSETS","es.rel.purchase.order2fixedassets","BIDIRECTION","All/AP/@ES_PURCHASE_ORDER","All/Master Data/@ES_FIXEDASSETS"
171,"ES_REL_PURCHASE_ORDER2BP","es.rel.purchase.order2bp","BIDIRECTION","All/AP/@ES_PURCHASE_ORDER","All/Master Data/@ES_BP"
172,"ES_REL_PURCHASE_ORDER2CONTACT","es.rel.purchase.order2contact","BIDIRECTION","All/AP/@ES_PURCHASE_ORDER","All/Master Data/@ES_CONTACT"
173,"ES_REL_PURCHASEQUOTATION2ITEM","es.rel.purchasequotation2item","BIDIRECTION","All/AP/@ES_PURCHASEQUOTATION","All/Master Data/@ES_ITEM"
174,"ES_REL_PURCHASEQUOTATION2FIXEDASSETS","es.rel.purchasequotation2fixedassets","BIDIRECTION","All/AP/@ES_PURCHASEQUOTATION","All/Master Data/@ES_FIXEDASSETS"
175,"ES_REL_PURCHASEQUOTATION2BP","es.rel.purchasequotation2bp","BIDIRECTION","All/AP/@ES_PURCHASEQUOTATION","All/Master Data/@ES_BP"
176,"ES_REL_PURCHASEQUOTATION2CONTACT","es.rel.purchasequotation2contact","BIDIRECTION","All/AP/@ES_PURCHASEQUOTATION","All/Master Data/@ES_CONTACT"
177,"ES_REL_RESOURCE2PRODUCTIONORDER","es.rel.resource2productionorder","BIDIRECTION","All/Master Data/@ES_RESOURCEMD","All/Production/@ES_PRODUCTIONORDER"
178,"ES_REL_RESOURCE2ISSUEFORPRODUCTION","es.rel.resource2issueforproduction","BIDIRECTION","All/Master Data/@ES_RESOURCEMD","All/Production/@ES_ISSUEFORPRODUCTION"
179,"ES_REL_RESOURCE2BOM","es.rel.resource2bom","BIDIRECTION","All/Master Data/@ES_RESOURCEMD","All/Production/@ES_BOM"
180,"ES_REL_SALES_D_P_I2ITEM","es.rel.sales.d.p.i2item","BIDIRECTION","All/AR/@ES_SALES_D_P_I","All/Master Data/@ES_ITEM"
181,"ES_REL_SALES_D_P_I2FIXEDASSETS","es.rel.sales.d.p.i2fixedassets","BIDIRECTION","All/AR/@ES_SALES_D_P_I","All/Master Data/@ES_FIXEDASSETS"
182,"ES_REL_SALES_D_P_I2BP","es.rel.sales.d.p.i2bp","BIDIRECTION","All/AR/@ES_SALES_D_P_I","All/Master Data/@ES_BP"
183,"ES_REL_SALES_D_P_I2CONTACT","es.rel.sales.d.p.i2contact","BIDIRECTION","All/AR/@ES_SALES_D_P_I","All/Master Data/@ES_CONTACT"
184,"ES_REL_SALES_D_P_R2ITEM","es.rel.sales.d.p.r2item","BIDIRECTION","All/AR/@ES_SALES_D_P_R","All/Master Data/@ES_ITEM"
185,"ES_REL_SALES_D_P_R2FIXEDASSETS","es.rel.sales.d.p.r2fixedassets","BIDIRECTION","All/AR/@ES_SALES_D_P_R","All/Master Data/@ES_FIXEDASSETS"
186,"ES_REL_SALES_D_P_R2BP","es.rel.sales.d.p.r2bp","BIDIRECTION","All/AR/@ES_SALES_D_P_R","All/Master Data/@ES_BP"
187,"ES_REL_SALES_D_P_R2CONTACT","es.rel.sales.d.p.r2contact","BIDIRECTION","All/AR/@ES_SALES_D_P_R","All/Master Data/@ES_CONTACT"
188,"ES_REL_SALESARINVOICE2ITEM","es.rel.salesarinvoice2item","BIDIRECTION","All/AR/@ES_SALESARINVOICE","All/Master Data/@ES_ITEM"
189,"ES_REL_SALESARINVOICE2FIXEDASSETS","es.rel.salesarinvoice2fixedassets","BIDIRECTION","All/AR/@ES_SALESARINVOICE","All/Master Data/@ES_FIXEDASSETS"
190,"ES_REL_SALESARINVOICE2BP","es.rel.salesarinvoice2bp","BIDIRECTION","All/AR/@ES_SALESARINVOICE","All/Master Data/@ES_BP"
191,"ES_REL_SALESARINVOICE2CONTACT","es.rel.salesarinvoice2contact","BIDIRECTION","All/AR/@ES_SALESARINVOICE","All/Master Data/@ES_CONTACT"
192,"ES_REL_SALESARINVOICE2SALESDELIVERY","es.rel.salesarinvoice2salesdelivery","BIDIRECTION","All/AR/@ES_SALESARINVOICE","All/AR/@ES_SALESDELIVERY"
193,"ES_REL_SALESARINVOICE2SALESORDER","es.rel.salesarinvoice2salesorder","BIDIRECTION","All/AR/@ES_SALESARINVOICE","All/AR/@ES_SALESORDER"
194,"ES_REL_SALESAR_R_I2ITEM","es.rel.salesar.r.i2item","BIDIRECTION","All/AR/@ES_SALESAR_R_I","All/Master Data/@ES_ITEM"
195,"ES_REL_SALESAR_R_I2FIXEDASSETS","es.rel.salesar.r.i2fixedassets","BIDIRECTION","All/AR/@ES_SALESAR_R_I","All/Master Data/@ES_FIXEDASSETS"
196,"ES_REL_SALESAR_R_I2BP","es.rel.salesar.r.i2bp","BIDIRECTION","All/AR/@ES_SALESAR_R_I","All/Master Data/@ES_BP"
197,"ES_REL_SALESAR_R_I2CONTACT","es.rel.salesar.r.i2contact","BIDIRECTION","All/AR/@ES_SALESAR_R_I","All/Master Data/@ES_CONTACT"
198,"ES_REL_SALESDELIVERY2ITEM","es.rel.salesdelivery2item","BIDIRECTION","All/AR/@ES_SALESDELIVERY","All/Master Data/@ES_ITEM"
199,"ES_REL_SALESDELIVERY2FIXEDASSETS","es.rel.salesdelivery2fixedassets","BIDIRECTION","All/AR/@ES_SALESDELIVERY","All/Master Data/@ES_FIXEDASSETS"
200,"ES_REL_SALESDELIVERY2BP","es.rel.salesdelivery2bp","BIDIRECTION","All/AR/@ES_SALESDELIVERY","All/Master Data/@ES_BP"
201,"ES_REL_SALESDELIVERY2CONTACT","es.rel.salesdelivery2contact","BIDIRECTION","All/AR/@ES_SALESDELIVERY","All/Master Data/@ES_CONTACT"
202,"ES_REL_SALESDELIVERY2SALESORDER","es.rel.salesdelivery2salesorder","BIDIRECTION","All/AR/@ES_SALESDELIVERY","All/AR/@ES_SALESORDER"
203,"ES_REL_SALESORDER2ITEM","es.rel.salesorder2item","BIDIRECTION","All/AR/@ES_SALESORDER","All/Master Data/@ES_ITEM"
204,"ES_REL_SALESORDER2FIXEDASSETS","es.rel.salesorder2fixedassets","BIDIRECTION","All/AR/@ES_SALESORDER","All/Master Data/@ES_FIXEDASSETS"
205,"ES_REL_SALESORDER2BP","es.rel.salesorder2bp","BIDIRECTION","All/AR/@ES_SALESORDER","All/Master Data/@ES_BP"
206,"ES_REL_SALESORDER2CONTACT","es.rel.salesorder2contact","BIDIRECTION","All/AR/@ES_SALESORDER","All/Master Data/@ES_CONTACT"
207,"ES_REL_SALESQUOTATION2ITEM","es.rel.salesquotation2item","BIDIRECTION","All/AR/@ES_SALESQUOTATION","All/Master Data/@ES_ITEM"
208,"ES_REL_SALESQUOTATION2FIXEDASSETS","es.rel.salesquotation2fixedassets","BIDIRECTION","All/AR/@ES_SALESQUOTATION","All/Master Data/@ES_FIXEDASSETS"
209,"ES_REL_SALESQUOTATION2BP","es.rel.salesquotation2bp","BIDIRECTION","All/AR/@ES_SALESQUOTATION","All/Master Data/@ES_BP"
210,"ES_REL_SALESQUOTATION2CONTACT","es.rel.salesquotation2contact","BIDIRECTION","All/AR/@ES_SALESQUOTATION","All/Master Data/@ES_CONTACT"
211,"ES_REL_SALESRETURNS2ITEM","es.rel.salesreturns2item","BIDIRECTION","All/AR/@ES_SALESRETURNS","All/Master Data/@ES_ITEM"
212,"ES_REL_SALESRETURNS2FIXEDASSETS","es.rel.salesreturns2fixedassets","BIDIRECTION","All/AR/@ES_SALESRETURNS","All/Master Data/@ES_FIXEDASSETS"
213,"ES_REL_SALESRETURNS2BP","es.rel.salesreturns2bp","BIDIRECTION","All/AR/@ES_SALESRETURNS","All/Master Data/@ES_BP"
214,"ES_REL_SALESRETURNS2CONTACT","es.rel.salesreturns2contact","BIDIRECTION","All/AR/@ES_SALESRETURNS","All/Master Data/@ES_CONTACT"