"PATH","OBJECTID","OBJECT_TYPE"
"All/Master Data/@ES_EMPLOYEE_M_D",443,1
"All/Service/@ES_KNOWLEDGE_BASE",405,1
"All/AR/@ES_AR_CREDIT_MEMO",60,1
"All/Banking/@ES_OP",77,1
"All/Production/@ES_RECEIPTFROMPRODUCTION",522,1
"All/Master Data/@ES_CHART_OF_ACCOUNT",15,1
"All/AR/@ES_SALESRETURNS",56,1
"All/Master Data/@ES_CONTACT",543,1
"All/AR/@ES_SALESDELIVERY",55,1
"All/AP/@ES_GOODSRECEIPTPO",64,1
"All/Production/@ES_ISSUEFORPRODUCTION",521,1
"All/Service/@ES_SERVICECALL",418,1
"All/AR/@ES_SALES_D_P_R",515,1
"All/Sales Opportunity/@ES_OPPORTUNITY",255,1
"All/Analytic Content/@ES_REPORT",41,1
"All/Inventory/@ES_INVENTORYGOODSRECEIPT",93,1
"All/Master Data/@ES_BP",70,1
"All/Production/@ES_BOM",100,1
"All/AP/@ES_PURCHASE_ORDER",63,1
"All/Master Data/@ES_RESOURCEMD",1102,1
"All/AR/@ES_SALESORDER",54,1
"All/Service/@ES_ACTIVITY",72,1
"All/AR/@ES_SALESAR_R_I",463,1
"All/Inventory/@ES_INVENTORYGOODSISSUE",94,1
"All/AP/@ES_APRESERVEINVOICE",441,1
"All/AR/@ES_SALESARINVOICE",57,1
"All/Master Data/@ES_ITEM",88,1
"All/Master Data/@ES_FIXEDASSETS",1006,1
"All/Inventory/@ES_INVENTORYTRANSFER",95,1
"All/AP/@ES_AP_CREDIT_MEMO",67,1
"All/AR/@ES_SALESQUOTATION",53,1
"All/Banking/@ES_IP",75,1
"All/Master Data/@ES_BINLOCATION",1027,1
"All/AR/@ES_SALES_D_P_I",506,1
"All/Production/@ES_PRODUCTIONORDER",474,1
"All/AP/@ES_PURCHASEQUOTATION",939,1
"All/AP/@ES_GOODSRETURN",65,1
"All/AP/@ES_AP_INVOICE",66,1
"All/Master Data/@ES_BP?OCRD_CardType=L",540,3
"All/Master Data/@ES_CHART_OF_ACCOUNT?OACT_Protected=Y",105,3
"All/Master Data/@ES_BP?OCRD_CardType=C",538,3
"All/Master Data/@ES_BP?OCRD_CardType=S",539,3
"All/Master Data/@ES_BP?OCRD_Balance",154,4
"All/Master Data/@ES_ITEM?OITM_LastPurPrc",175,4
"All/Master Data/@ES_CHART_OF_ACCOUNT?OACT_CurrTotal",151,4
"All/Master Data/@ES_ITEM?OITM_LstEvlPric",126,4
"OPLN_GroupCode=1",129,5
"OPLN_GroupCode=2",130,5
"OPLN_GroupCode=-2",126,5
"OPLN_GroupCode=4",131,5
"OPLN_GroupCode=-1",175,5
"OPLN_GroupCode=3",196,5
"All/AP/@ES_AP_CREDIT_MEMO",19,2
"All/AR/@ES_SALESDELIVERY",15,2
"All/AP/@ES_PURCHASE_ORDER",22,2
"All/AP/@ES_AP_INVOICE",18,2
"All/AP/@ES_GOODSRETURN",21,2
"All/AR/@ES_SALESQUOTATION",23,2
"All/AR/@ES_SALES_D_P_I",203,2
"All/AR/@ES_AR_CREDIT_MEMO",14,2
"All/AP/@ES_PURCHASEQUOTATION",540000006,2
"All/AR/@ES_SALESRETURNS",16,2
"All/AR/@ES_SALESARINVOICE",13,2
"All/AR/@ES_SALESORDER",17,2
"All/Sales Opportunity/@ES_OPPORTUNITY",97,2
"All/Master Data/@ES_BP",2,2
"All/AP/@ES_GOODSRECEIPTPO",20,2