"FOLDER_ID","NAME","PARENT","DISPLAY_KEY"
1,"All",,"es.repository.all"
2,"Analytic Content",1,"es.repository.analytic_content"
3,"Master Data",1,"es.repository.master_data"
4,"AR",1,"es.repository.transaction.ar"
5,"UDO",1,"es.repository.udo"
6,"Inventory",1,"es.repository.inventory"
7,"Service",1,"es.repository.service"
8,"Production",1,"es.repository.production"
9,"AP",1,"es.repository.transaction.ap"
10,"Sales Opportunity",1,"es.repository.sales_opportunity"
11,"Banking",1,"es.repository.banking"