"PROJECTCODE","PROJECTNAME","PROJECTFULLNAME"
"-","-No Project-","-No Project-(-)"
"CR|PJ002","DEV_INT_CEPOD-UI5","DEV_INT_CEPOD-UI5(CR|PJ002)"
"CR|PJ005","DEV_ADANI-POWER_ELOGBOOK","DEV_ADANI-POWER_ELOGBOOK(CR|PJ005)"
"CR|PJ081","IMP_CRAVE_SAP B1 IMPLEMENTATION","IMP_CRAVE_SAP B1 IMPLEMENTATION(CR|PJ081)"
"CR|PJ012","AMC_ADANI-GE_SOLAR DASHBOARD APP","AMC_ADANI-GE_SOLAR DASHBOARD APP(CR|PJ012)"
"CR|PJ015","AMC_AWC_TRACKER","AMC_AWC_TRACKER(CR|PJ015)"
"CR|PJ007","DEV_ADANI-POWER_CRITICAL PARAMETER","DEV_ADANI-POWER_CRITICAL PARAMETER(CR|PJ007)"
"CR|PJ008","DEV_ADANI-POWER_GENERATION DASHBOARD","DEV_ADANI-POWER_GENERATION DASHBOARD(CR|PJ008)"
"CR|PJ093","DEV_CINTAS_DYNAMIC CONNECT","DEV_CINTAS_DYNAMIC CONNECT(CR|PJ093)"
"CR|PJ086","HR_ACTIVITIES_CRAVEINFOTECH","HR_ACTIVITIES_CRAVEINFOTECH(CR|PJ086)"
"CR|PJ087","CRAVE_TEAM_EVENT(ADMIN)","CRAVE_TEAM_EVENT(ADMIN)(CR|PJ087)"
"CR|PJ088","DEV_INT_TIMESHEET","DEV_INT_TIMESHEET(CR|PJ088)"
"CR|PJ001","DEV_ADANI-GE_PROJECT TEAM APP","DEV_ADANI-GE_PROJECT TEAM APP(CR|PJ001)"
"CR|PJ004","DEV_ADANI-WILMAR_TRUCK LATENCY MOBILE APP","DEV_ADANI-WILMAR_TRUCK LATENCY MOBILE APP(CR|PJ004)"
"CR|PJ010","AMC_ADANI-GE_PROJECT TEAM APP","AMC_ADANI-GE_PROJECT TEAM APP(CR|PJ010)"
"CR|PJ055","IMP_ENCORE_ANALYTICS","IMP_ENCORE_ANALYTICS(CR|PJ055)"
"CR|PJ033","DEV_INT_WAREHOUSE MANAGEMENT","DEV_INT_WAREHOUSE MANAGEMENT(CR|PJ033)"
"CR|PJ085","IMP_INT_SAPB1DEMOSYSTEM","IMP_INT_SAPB1DEMOSYSTEM(CR|PJ085)"
"CR|PJ016","BUTTER SUPPLY","BUTTER SUPPLY(CR|PJ016)"
"CR|PJ098","DEV_DRLSERVICE CATALOG","DEV_DRLSERVICE CATALOG(CR|PJ098)"
"CR|PJ025","DEV_CHC_SAP BI IMPLEMENTATION & REPORT CONVERSION","DEV_CHC_SAP BI IMPLEMENTATION & REPORT CONVERSION(CR|PJ025)"
"CR|PJ048","AMC_DRL_BREAKDOWN MAINTENANCE","AMC_DRL_BREAKDOWN MAINTENANCE(CR|PJ048)"
"CR|PJ039","DEV_INT_TRACKER UI5","DEV_INT_TRACKER UI5(CR|PJ039)"
"CR|PJ051","AMC_DRL_FACILITY MAINTENANCE","AMC_DRL_FACILITY MAINTENANCE(CR|PJ051)"
"CR|PJ041","DEV_INT_CEMR","DEV_INT_CEMR(CR|PJ041)"
"CR|PJ182","AMC21_SANOFI_AHU FILTER MAINTENANCE MANAGEMENT SOLUTION","AMC21_SANOFI_AHU FILTER MAINTENANCE MANAGEMENT SOLUTION(CR|PJ182)"
"CR|PJ047","DEV_DRL_VIKRETA","DEV_DRL_VIKRETA(CR|PJ047)"
"CRPJ096","DEV_NOBELBIOCARE_SALE ORDER PROCESSING","DEV_NOBELBIOCARE_SALE ORDER PROCESSING(CRPJ096)"
"CR|PJ049","DEV_DRL_CHANGE CONTROL MANAGEMENT (T&M)","DEV_DRL_CHANGE CONTROL MANAGEMENT (T&M)(CR|PJ049)"
"CR|PJ050","DEV_DRL_CTO CALIBRATION","DEV_DRL_CTO CALIBRATION(CR|PJ050)"
"CR|PJ044","DEV_INT_PLANNING DASHBOARD","DEV_INT_PLANNING DASHBOARD(CR|PJ044)"
"CR|PJ045","DEV_INT_INVENTORY MANAGEMENT","DEV_INT_INVENTORY MANAGEMENT(CR|PJ045)"
"CR|PJ053","DEV_DRL_PMS (T&M)","DEV_DRL_PMS (T&M)(CR|PJ053)"
"CR|PJ054","AMC_ENCORE_SAP B1 SUPPORT","AMC_ENCORE_SAP B1 SUPPORT(CR|PJ054)"
"CR|PJ078","DEV_SUNSET_VPN CONFIGURATION","DEV_SUNSET_VPN CONFIGURATION(CR|PJ078)"
"CR|PJ013","IMP_ANANDWAN_IHMS- SAP B1 IMPLEMENTATION","IMP_ANANDWAN_IHMS- SAP B1 IMPLEMENTATION(CR|PJ013)"
"CR|PJ057","IMP_PANDYA HOSPITAL_IPD-SAP B1","IMP_PANDYA HOSPITAL_IPD-SAP B1(CR|PJ057)"
"CR|PJ058","IMP_PANDYA HOSPITAL_OPD-SAP B1","IMP_PANDYA HOSPITAL_OPD-SAP B1(CR|PJ058)"
"CR|PJ059","IMP_PANDYA HOSPITAL_SMART CARD","IMP_PANDYA HOSPITAL_SMART CARD(CR|PJ059)"
"CR|PJ038","DEV_INT_WEBSITE UPGRADE","DEV_INT_WEBSITE UPGRADE(CR|PJ038)"
"CR|PJ036","DEV_INT_INTERNAL INFRASTRUCTURE SERVICES","DEV_INT_INTERNAL INFRASTRUCTURE SERVICES(CR|PJ036)"
"CR|PJ046","IMP_DELAVAL_SAP B1 IMPLEMENTATION","IMP_DELAVAL_SAP B1 IMPLEMENTATION(CR|PJ046)"
"CR|PJ233","AMC21_ENCORE_SAP B1 SUPPORT","AMC21_ENCORE_SAP B1 SUPPORT(CR|PJ233)"
"CR|PJ037","DEV_INT_MY INBOX","DEV_INT_MY INBOX(CR|PJ037)"
"CR|PJ040","DEV_INT_DYNAMIC MODELING","DEV_INT_DYNAMIC MODELING(CR|PJ040)"
"CR|PJ035","DEV_INT_CFSM","DEV_INT_CFSM(CR|PJ035)"
"CR|PJ042","DEV_INT_IHMS DEVELOPMENT","DEV_INT_IHMS DEVELOPMENT(CR|PJ042)"
"CR|PJ043","DEV_INT_APPROVAL APPS","DEV_INT_APPROVAL APPS(CR|PJ043)"
"CR|PJ026","DEV_INT_DYNAMIC CONNECT","DEV_INT_DYNAMIC CONNECT(CR|PJ026)"
"CR|PJ011","DEV_ADANI-GE_SOLAR DASHBOARD APP","DEV_ADANI-GE_SOLAR DASHBOARD APP(CR|PJ011)"
"CR|PJ094","DEV_CINTAS_LISTINGANDEXCLUSION","DEV_CINTAS_LISTINGANDEXCLUSION(CR|PJ094)"
"CR|PJ014","DEV_AWC_TRACKER","DEV_AWC_TRACKER(CR|PJ014)"
"CR|PJ027","DEV_INT_RENTAL MASS MAINTENANCE","DEV_INT_RENTAL MASS MAINTENANCE(CR|PJ027)"
"CR|PJ017","DEV_CHC_HEALTHCARE DEVELOPMENT","DEV_CHC_HEALTHCARE DEVELOPMENT(CR|PJ017)"
"CR|PJ018","DEV_CHC_DATA CONVERSION","DEV_CHC_DATA CONVERSION(CR|PJ018)"
"CR|PJ019","DEV_CHC_CONCUR INTEGRATION","DEV_CHC_CONCUR INTEGRATION(CR|PJ019)"
"CR|PJ020","DEV_CHC_INFRASTRUCTURE SUPPORT","DEV_CHC_INFRASTRUCTURE SUPPORT(CR|PJ020)"
"CR|PJ021","IMP_CHC_SAP B1 IMPLEMENTATION","IMP_CHC_SAP B1 IMPLEMENTATION(CR|PJ021)"
"CR|PJ022","DEV_CHC_DATA TO WAREHOUSE","DEV_CHC_DATA TO WAREHOUSE(CR|PJ022)"
"CR|PJ023","IMP_CHC_HOPE CONVERSION","IMP_CHC_HOPE CONVERSION(CR|PJ023)"
"CR|PJ024","DEV_CHC_BILLING","DEV_CHC_BILLING(CR|PJ024)"
"CR|PJ028","DEV_INT_PRC CREDITS/ RENTAL PROJECTS","DEV_INT_PRC CREDITS/ RENTAL PROJECTS(CR|PJ028)"
"CR|PJ029","DEV_INT_PRICING SIMPLIFICATION","DEV_INT_PRICING SIMPLIFICATION(CR|PJ029)"
"CR|PJ065","IMP_WIPRO_WAREHOUSE MANAGEMENT IMPLEMENTATION","IMP_WIPRO_WAREHOUSE MANAGEMENT IMPLEMENTATION(CR|PJ065)"
"CR|PJ066","IMP_KHANNAPAPERMILLS_WAREHOUSE MANAGEMENT IMPLEMENTATION","IMP_KHANNAPAPERMILLS_WAREHOUSE MANAGEMENT IMPLEMENTATION(CR|PJ066)"
"CR|PJ067","IMP_SUN PHARMACEUTICAL_SAP MOBILITY CALIBRATION MAINTENANCE","IMP_SUN PHARMACEUTICAL_SAP MOBILITY CALIBRATION MAINTENANCE(CR|PJ067)"
"CR|PJ030","DEV_INT_PLANT TRANSFER","DEV_INT_PLANT TRANSFER(CR|PJ030)"
"CR|PJ136","BD_GLENMARK","BD_GLENMARK(CR|PJ136)"
"CR|PJ070","US_CRAVE INFOTECH  LLC","US_CRAVE INFOTECH  LLC(CR|PJ070)"
"CR|PJ237","CR04_ATGL_MYAGL_APPLICATION ENHANCEMENT(900HOURS)","CR04_ATGL_MYAGL_APPLICATION ENHANCEMENT(900HOURS)(CR|PJ237)"
"CR|PJ072","DELIVERY_CRAVE INFOTECH INDIA","DELIVERY_CRAVE INFOTECH INDIA(CR|PJ072)"
"CR|PJ073","ACCOUNT_CRAVE INFOTECH INDIA","ACCOUNT_CRAVE INFOTECH INDIA(CR|PJ073)"
"CR|PJ074","DEV_INT_cPATIENT PORTAL","DEV_INT_cPATIENT PORTAL(CR|PJ074)"
"CR|PJ075","DEV_INT_WEBSITE SEO","DEV_INT_WEBSITE SEO(CR|PJ075)"
"CR|PJ076","DEV_INT_ASSET TRACKER","DEV_INT_ASSET TRACKER(CR|PJ076)"
"CR|PJ077","DEV_INT_CAPPOINTMANT","DEV_INT_CAPPOINTMANT(CR|PJ077)"
"CR|PJ079","DEV_SUNSET_GLOBAL SALE TRACKER REPORT GROSS PROFIT","DEV_SUNSET_GLOBAL SALE TRACKER REPORT GROSS PROFIT(CR|PJ079)"
"CR|PJ089","EMPLOYEE_FAREWELL_BIRTHDAY_CULTURAL","EMPLOYEE_FAREWELL_BIRTHDAY_CULTURAL(CR|PJ089)"
"CR|PJ080","DEV_INT_CMAINTENANCE","DEV_INT_CMAINTENANCE(CR|PJ080)"
"CR|PJ031","DEV_INT_RENTAL VOLUME TRANSFER","DEV_INT_RENTAL VOLUME TRANSFER(CR|PJ031)"
"CR|PJ082","DEV_CINTAS_LISTING AND EXCLUSION","DEV_CINTAS_LISTING AND EXCLUSION(CR|PJ082)"
"CR|PJ083","EVENT_CRAVE INFOTECH INDIA","EVENT_CRAVE INFOTECH INDIA(CR|PJ083)"
"CR|PJ084","MANAGMENT_CRAVE INFOTECH INDIA","MANAGMENT_CRAVE INFOTECH INDIA(CR|PJ084)"
"CR|PJ034","DEV_INT_CMAINTENANCE","DEV_INT_CMAINTENANCE(CR|PJ034)"
"CR|PJ032","DEV_INT_RENTAL ENHANCEMENT","DEV_INT_RENTAL ENHANCEMENT(CR|PJ032)"
"CR|PJ060","DEV_SUNSET_PRODUCTION PROCESS SAP B1","DEV_SUNSET_PRODUCTION PROCESS SAP B1(CR|PJ060)"
"CR|PJ052","AMC_DRL_CALIBRATION PHASE II","AMC_DRL_CALIBRATION PHASE II(CR|PJ052)"
"CR|PJ099","IHMS INDIAN DB CREATION","IHMS INDIAN DB CREATION(CR|PJ099)"
"CR|PJ061","AMC_SUNSET_CLOUD SUPPORT","AMC_SUNSET_CLOUD SUPPORT(CR|PJ061)"
"CR|PJ091","PURCHASE_CRAVE INFOTECH INDIA","PURCHASE_CRAVE INFOTECH INDIA(CR|PJ091)"
"CR|PJ092","DEV_COMPSOPE_ASSET TRANSFER","DEV_COMPSOPE_ASSET TRANSFER(CR|PJ092)"
"CR|PJ095","DEV_KPM_BANKGUARANTEE","DEV_KPM_BANKGUARANTEE(CR|PJ095)"
"CR|PJ062","DEV_SUNSET_SALES TRACKER","DEV_SUNSET_SALES TRACKER(CR|PJ062)"
"CR|PJ009","AMC_ADANI-POWER_ELOGBOOK","AMC_ADANI-POWER_ELOGBOOK(CR|PJ009)"
"CR|PJ096","INT_SAPB1_MAINTENANCE_ADDON","INT_SAPB1_MAINTENANCE_ADDON(CR|PJ096)"
"CR|PJ069","IMP_SASAN POWER LIMITED_RFID TAG IMPLEMENTATION","IMP_SASAN POWER LIMITED_RFID TAG IMPLEMENTATION(CR|PJ069)"
"CR|PJ097","INT_CRAVE_INTERNAL_SUPPORT","INT_CRAVE_INTERNAL_SUPPORT(CR|PJ097)"
"CR|098","DEV_PANDYA_SAPB1 IHMS","DEV_PANDYA_SAPB1 IHMS(CR|098)"
"CR|PJ100","DEV_KPM_PRODUCTIONPROCESS","DEV_KPM_PRODUCTIONPROCESS(CR|PJ100)"
"CR|PJ101","INT_TRAINING","INT_TRAINING(CR|PJ101)"
"CR|PJ102","CINTAS_FAS","CINTAS_FAS(CR|PJ102)"
"CR|PJ103","OFFICE RENT_NIMDEX","OFFICE RENT_NIMDEX(CR|PJ103)"
"CR|PJ104","NEW_PROSPECT","NEW_PROSPECT(CR|PJ104)"
"CR|PJ105","IMP_SUN PHARMACEUTICAL_SAP MOBILITY PREVENTIVE MAINTENANCE","IMP_SUN PHARMACEUTICAL_SAP MOBILITY PREVENTIVE MAINTENANCE(CR|PJ105)"
"CR|PJ106","US_SHARED BENCH","US_SHARED BENCH(CR|PJ106)"
"CR|PJ107","BD_PATEL HOSPITAL","BD_PATEL HOSPITAL(CR|PJ107)"
"CR|PJ108","BD_DUVALL COUNTY","BD_DUVALL COUNTY(CR|PJ108)"
"CR|PJ109","BD_GRP","BD_GRP(CR|PJ109)"
"CR|PJ110","BD_RELIANCE DASSAULT","BD_RELIANCE DASSAULT(CR|PJ110)"
"CR|PJ111","BD_SHELL","BD_SHELL(CR|PJ111)"
"CR|PJ112","CRAVE INDIRECT EXPENSE","CRAVE INDIRECT EXPENSE(CR|PJ112)"
"CR|PJ113","CRAVE FIX ASSET","CRAVE FIX ASSET(CR|PJ113)"
"CR|PJ114","CRAVE DIRECT EXPENSE","CRAVE DIRECT EXPENSE(CR|PJ114)"
"CR|PJ115","CRAVE PROVISIONS","CRAVE PROVISIONS(CR|PJ115)"
"CR|PJ116","CRAVE TDS PAYABLE","CRAVE TDS PAYABLE(CR|PJ116)"
"CR|PJ117","DEV_DRL_SERVICE CATALOG","DEV_DRL_SERVICE CATALOG(CR|PJ117)"
"CR|PJ118","BD_SERUM INSTITUTE","BD_SERUM INSTITUTE(CR|PJ118)"
"CR|PJ119","INT_CRAVE_PROJECT MANAGEMENT","INT_CRAVE_PROJECT MANAGEMENT(CR|PJ119)"
"CR|PJ120","DRL_INCIDENT MANAGER","DRL_INCIDENT MANAGER(CR|PJ120)"
"CR|PJ121","AMC_BUSINESS ALGORITHMS PVT LTD","AMC_BUSINESS ALGORITHMS PVT LTD(CR|PJ121)"
"CR|PJ071","SALES_CRAVE INFOTECH INDIA","SALES_CRAVE INFOTECH INDIA(CR|PJ071)"
"CR|PJ133","AMC_1 _RASHI STEEL& POWER LTD._SAP B1 IMPLEMENTATION","AMC_1 _RASHI STEEL& POWER LTD._SAP B1 IMPLEMENTATION(CR|PJ133)"
"CR|PJ124","IMP_SUN PHARMACEUTICAL_CUSTOMER PORTAL & MOBILE APP DEVELOPMENT","IMP_SUN PHARMACEUTICAL_CUSTOMER PORTAL & MOBILE APP DEVELOPMENT(CR|PJ124)"
"CR|PJ125","IMP_SIEMENS_PUSHNOTIFICATION _IMPLEMENTATION.","IMP_SIEMENS_PUSHNOTIFICATION _IMPLEMENTATION.(CR|PJ125)"
"CR|PJ126","INDIGO_HOMES.","INDIGO_HOMES.(CR|PJ126)"
"CR|PJ127","BD_EXCEL INDUSTRIES","BD_EXCEL INDUSTRIES(CR|PJ127)"
"CR|PJ128","SAP & IHMS Database preparation","SAP & IHMS Database preparation(CR|PJ128)"
"CR|PJ129","DEV_PROSPECTA INTEGRATION DEVELOPMENT","DEV_PROSPECTA INTEGRATION DEVELOPMENT(CR|PJ129)"
"CR|PJ130","DEV_COMPSOPE_WAREHOUSE MANAGEMENT","DEV_COMPSOPE_WAREHOUSE MANAGEMENT(CR|PJ130)"
"CR|PJ064","AMC21_TAORI_SAP B1 LISCENCE","AMC21_TAORI_SAP B1 LISCENCE(CR|PJ064)"
"CR|PJ132","DEV_DRL_PREVENTIVE MAINTENANCE","DEV_DRL_PREVENTIVE MAINTENANCE(CR|PJ132)"
"CR|PJ123","IMP_RASHI STEEL& POWER LTD._SAP B1 IMPLEMENTATION","IMP_RASHI STEEL& POWER LTD._SAP B1 IMPLEMENTATION(CR|PJ123)"
"CR|PJ134","IMP_SANOFI_AHU FILTER MAINTENANCE MANAGEMENT SOLUTION","IMP_SANOFI_AHU FILTER MAINTENANCE MANAGEMENT SOLUTION(CR|PJ134)"
"CR|PJ135","BD_MAHAGENCO","BD_MAHAGENCO(CR|PJ135)"
"CR|PJ056","IMP_HAKUHODO_SAP B1 IMPLEMENTATION","IMP_HAKUHODO_SAP B1 IMPLEMENTATION(CR|PJ056)"
"CR|PJ137","BD_CANCER HOSPITAL_GWALIOR_IHMS","BD_CANCER HOSPITAL_GWALIOR_IHMS(CR|PJ137)"
"CR|PJ138","IMP_MICRO LABS_PLANT MAINTENANCE MOBILITY SOLUTION IMPLEMENTATION","IMP_MICRO LABS_PLANT MAINTENANCE MOBILITY SOLUTION IMPLEMENTATION(CR|PJ138)"
"CR|PJ140","BD_KOPRAN","BD_KOPRAN(CR|PJ140)"
"CR|PJ141","BD_ALEMBIC","BD_ALEMBIC(CR|PJ141)"
"CR|PJ142","BD_PATNI","BD_PATNI(CR|PJ142)"
"CR|PJ143","BD_JSW","BD_JSW(CR|PJ143)"
"CR|PJ139","IMP_T SQUARE TOOLS PVT LTD__SAP B1 IMPLEMENTATION","IMP_T SQUARE TOOLS PVT LTD__SAP B1 IMPLEMENTATION(CR|PJ139)"
"CR|PJ144","BD_KINGSWAY HOSPITAL","BD_KINGSWAY HOSPITAL(CR|PJ144)"
"CR|PJ145","BD_PIRAMAL GROUP AND MAHAGENCO","BD_PIRAMAL GROUP AND MAHAGENCO(CR|PJ145)"
"CR|PJ146","BD_NEW PROSPECT WARADE ATOMATION","BD_NEW PROSPECT WARADE ATOMATION(CR|PJ146)"
"CR|PJ147","BD_ALPHA BLADES","BD_ALPHA BLADES(CR|PJ147)"
"CR|PJ148","DRL_MY DAY APPLICATION","DRL_MY DAY APPLICATION(CR|PJ148)"
"CR|PJ149","BD_SHRIKANT ELECTRONIC","BD_SHRIKANT ELECTRONIC(CR|PJ149)"
