"AbsEntry","LineNum","ItemCode","DprArea","PeriodCat","PostPeriod","RefDate","APC","OrdDpr","UnpDpr","SpDprKey1","SpDpr1","Qty","DprType","DprDate","RemLife","SalvageVal","RecvAsst","RetirDate","SpDprKey2","SpDpr2","SpDprKey3","TransType","UsefulLife","Appr","WriteUp","DeltaDays","NewAstCls","HistOrdDpr","SpDpr3","TransAmnt","Remark","ReTranType","NewTtlUnit"
13,1,"FA110002","Main Books","FY201718",12,"2018-03-31 00:00:00.000000000","153368.970000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"153368.970000",,"0",
13,2,"FA110002","Tax Books","FY201718",12,"2018-03-31 00:00:00.000000000","153368.970000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"153368.970000",,"0",
14,1,"FA110003","Main Books","FY201718",12,"2018-03-31 00:00:00.000000000","956585.100000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"956585.100000",,"0",
14,2,"FA110003","Tax Books","FY201718",12,"2018-03-31 00:00:00.000000000","956585.100000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"956585.100000",,"0",
15,1,"FA110004","Main Books","FY201718",12,"2018-03-31 00:00:00.000000000","4314.810000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"4314.810000",,"0",
15,2,"FA110004","Tax Books","FY201718",12,"2018-03-31 00:00:00.000000000","4314.810000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"4314.810000",,"0",
16,1,"FA110005","Main Books","FY201718",12,"2018-03-31 00:00:00.000000000","9999.470000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"9999.470000",,"0",
16,2,"FA110005","Tax Books","FY201718",12,"2018-03-31 00:00:00.000000000","9999.470000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"9999.470000",,"0",
17,1,"FA110006","Main Books","FY201718",12,"2018-03-31 00:00:00.000000000","786.600000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"786.600000",,"0",
17,2,"FA110006","Tax Books","FY201718",12,"2018-03-31 00:00:00.000000000","786.600000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"786.600000",,"0",
18,1,"FA110007","Main Books","FY201718",12,"2018-03-31 00:00:00.000000000","169824.800000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"169824.800000",,"0",
18,2,"FA110007","Tax Books","FY201718",12,"2018-03-31 00:00:00.000000000","169824.800000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"169824.800000",,"0",
19,1,"FA110008","Main Books","FY201718",12,"2018-03-31 00:00:00.000000000","10626.990000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"10626.990000",,"0",
19,2,"FA110008","Tax Books","FY201718",12,"2018-03-31 00:00:00.000000000","10626.990000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"10626.990000",,"0",
20,1,"FA110009","Main Books","FY201718",12,"2018-03-31 00:00:00.000000000","4412.920000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"4412.920000",,"0",
20,2,"FA110009","Tax Books","FY201718",12,"2018-03-31 00:00:00.000000000","4412.920000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"4412.920000",,"0",
21,1,"FA110011","Main Books","FY201718",12,"2018-03-31 00:00:00.000000000","174.660000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"174.660000",,"0",
21,2,"FA110011","Tax Books","FY201718",12,"2018-03-31 00:00:00.000000000","174.660000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"174.660000",,"0",
22,1,"FA110012","Main Books","FY201718",12,"2018-03-31 00:00:00.000000000","1416.560000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"1416.560000",,"0",
22,2,"FA110012","Tax Books","FY201718",12,"2018-03-31 00:00:00.000000000","1416.560000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"1416.560000",,"0",
23,1,"FA110010","Main Books","FY201718",12,"2018-03-31 00:00:00.000000000","859.890000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"859.890000",,"0",
23,2,"FA110010","Tax Books","FY201718",12,"2018-03-31 00:00:00.000000000","859.890000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"859.890000",,"0",
24,1,"FA110001","Main Books","FY201718",12,"2018-03-31 00:00:00.000000000","1973.080000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"1973.080000",,"0",
24,2,"FA110001","Tax Books","FY201718",12,"2018-03-31 00:00:00.000000000","1973.080000",,,,,"0.000000",,,,,,,,,,"110",,,,,,,,"1973.080000",,"0",